APT_ICAO,date,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_ARR_1,FLT_TOT_1,DLY_APT_ARR_1,FLT_ARR_1_DLY,FLT_ARR_1_DLY_15,DLY_APT_ARR_W_1,DLY_APT_ARR_D_1,type,latitude_deg,longitude_deg,elevation_ft,iso_country,iso_region,municipality,scheduled_service,year,month,month_name,day_of_week,is_weekend,quarter,season,delay_per_arr,pct_arr_delayed,pct_arr_delayed_15,weather_delay_min,weather_share,delay_level,is_outlier,month_start
EKCH,2024-05-27,Copenhagen - Kastrup,Denmark,389,388,777,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,5,May,Monday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
EIDW,2024-05-27,Dublin,Ireland,368,367,735,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,5,May,Monday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
LPPT,2024-05-27,Lisbon,Portugal,320,330,650,1470,117,35,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,5,May,Monday,False,2,Spring,4.454545454545454,0.35454545454545455,0.10606060606060606,0,0.0,Medium,False,2024-05-01
LOWW,2024-05-28,Vienna,Austria,374,378,752,304,27,8,304,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,5,May,Tuesday,False,2,Spring,0.8042328042328042,0.07142857142857142,0.021164021164021163,304,1.0,Low,False,2024-05-01
EBBR,2024-05-28,Brussels,Belgium,284,280,564,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,5,May,Tuesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
EKCH,2024-05-28,Copenhagen - Kastrup,Denmark,368,368,736,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,5,May,Tuesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
EIDW,2024-05-28,Dublin,Ireland,373,361,734,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,5,May,Tuesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
LPPT,2024-05-28,Lisbon,Portugal,307,310,617,1391,76,30,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,5,May,Tuesday,False,2,Spring,4.487096774193549,0.24516129032258063,0.0967741935483871,0,0.0,Medium,False,2024-05-01
LOWW,2024-05-29,Vienna,Austria,401,394,795,0,0,0,0,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,5,May,Wednesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
EBBR,2024-05-29,Brussels,Belgium,279,287,566,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,5,May,Wednesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
EKCH,2024-05-29,Copenhagen - Kastrup,Denmark,384,381,765,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,5,May,Wednesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
EIDW,2024-05-29,Dublin,Ireland,370,372,742,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,5,May,Wednesday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
LPPT,2024-05-29,Lisbon,Portugal,325,317,642,144,16,3,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,5,May,Wednesday,False,2,Spring,0.45425867507886436,0.050473186119873815,0.00946372239747634,0,0.0,Low,False,2024-05-01
LOWW,2024-05-30,Vienna,Austria,378,380,758,881,36,24,881,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,5,May,Thursday,False,2,Spring,2.318421052631579,0.09473684210526316,0.06315789473684211,881,1.0,Medium,False,2024-05-01
EBBR,2024-05-30,Brussels,Belgium,295,296,591,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,5,May,Thursday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
EKCH,2024-05-30,Copenhagen - Kastrup,Denmark,372,382,754,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,5,May,Thursday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
EIDW,2024-05-30,Dublin,Ireland,390,401,791,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,5,May,Thursday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
LPPT,2024-05-30,Lisbon,Portugal,334,330,664,186,25,0,0,0,large_airport,38.7813,-9.13592,374.0,PT,PT-11,Lisbon,yes,2024,5,May,Thursday,False,2,Spring,0.5636363636363636,0.07575757575757576,0.0,0,0.0,Low,False,2024-05-01
LOWW,2024-05-31,Vienna,Austria,395,392,787,453,27,14,453,0,large_airport,48.110298,16.5697,600.0,AT,AT-9,Vienna,yes,2024,5,May,Friday,False,2,Spring,1.155612244897959,0.06887755102040816,0.03571428571428571,453,1.0,Medium,False,2024-05-01
EBBR,2024-05-31,Brussels,Belgium,293,275,568,0,0,0,0,0,large_airport,50.901402,4.48444,175.0,BE,BE-VBR,Zaventem,yes,2024,5,May,Friday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
EKCH,2024-05-31,Copenhagen - Kastrup,Denmark,402,401,803,0,0,0,0,0,large_airport,55.617900848389,12.656000137329,17.0,DK,DK-84,Copenhagen,yes,2024,5,May,Friday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
EIDW,2024-05-31,Dublin,Ireland,384,382,766,0,0,0,0,0,large_airport,53.428713,-6.262121,242.0,IE,IE-D,Dublin,yes,2024,5,May,Friday,False,2,Spring,0.0,0.0,0.0,0,0.0,Low,False,2024-05-01
